Series Data									
E:\WA2114\WA2114_000_000_CUR.PD0									
Broadband 614.4 kHz									
Pings/Ens =	180								
Time/Ping = 00:01.00									
First Ensemble Date = 14/10/31									
First Ensemble Time = 07:00:00.00									
Ensemble Interval (s) = 	600								
1st Bin Range (m) = 	2.12								
Bin Size (m) =	1								


Ens	YR	MO	DA	HH	MM	SS	HH		Dep
									m


204	14	11	1	16	50	0	0		27.41
205	14	11	1	17	0	0	0		27.395
206	14	11	1	17	10	0	0		27.38
207	14	11	1	17	20	0	0		27.379
208	14	11	1	17	30	0	0		27.39
209	14	11	1	17	40	0	0		27.389
210	14	11	1	17	50	0	0		27.388
211	14	11	1	18	0	0	0		27.407
212	14	11	1	18	10	0	0		27.423
213	14	11	1	18	20	0	0		27.447
214	14	11	1	18	30	0	0		27.476
215	14	11	1	18	40	0	0		27.503
216	14	11	1	18	50	0	0		27.545
217	14	11	1	19	0	0	0		27.58
218	14	11	1	19	10	0	0		27.634
219	14	11	1	19	20	0	0		27.668
220	14	11	1	19	30	0	0		27.719
221	14	11	1	19	40	0	0		27.78
222	14	11	1	19	50	0	0		27.822
223	14	11	1	20	0	0	0		27.885
224	14	11	1	20	10	0	0		27.948
225	14	11	1	20	20	0	0		28.01
226	14	11	1	20	30	0	0		28.075
227	14	11	1	20	40	0	0		28.144
228	14	11	1	20	50	0	0		28.212
229	14	11	1	21	0	0	0		28.27
230	14	11	1	21	10	0	0		28.347
231	14	11	1	21	20	0	0		28.392
232	14	11	1	21	30	0	0		28.446
233	14	11	1	21	40	0	0		28.494
234	14	11	1	21	50	0	0		28.562
235	14	11	1	22	0	0	0		28.595
236	14	11	1	22	10	0	0		28.639
237	14	11	1	22	20	0	0		28.683
238	14	11	1	22	30	0	0		28.715
239	14	11	1	22	40	0	0		28.751
240	14	11	1	22	50	0	0		28.775
241	14	11	1	23	0	0	0		28.801
242	14	11	1	23	10	0	0		28.81
243	14	11	1	23	20	0	0		28.818
244	14	11	1	23	30	0	0		28.821
245	14	11	1	23	40	0	0		28.812
246	14	11	1	23	50	0	0		28.798
247	14	11	2	0	0	0	0		28.777
248	14	11	2	0	10	0	0		28.762
249	14	11	2	0	20	0	0		28.74
250	14	11	2	0	30	0	0		28.71
251	14	11	2	0	40	0	0		28.676
252	14	11	2	0	50	0	0		28.623
253	14	11	2	1	0	0	0		28.584
254	14	11	2	1	10	0	0		28.533
255	14	11	2	1	20	0	0		28.471
256	14	11	2	1	30	0	0		28.434
257	14	11	2	1	40	0	0		28.372
258	14	11	2	1	50	0	0		28.312
259	14	11	2	2	0	0	0		28.236
260	14	11	2	2	10	0	0		28.195
261	14	11	2	2	20	0	0		28.123
262	14	11	2	2	30	0	0		28.053
263	14	11	2	2	40	0	0		27.976
264	14	11	2	2	50	0	0		27.906
265	14	11	2	3	0	0	0		27.85
266	14	11	2	3	10	0	0		27.788
267	14	11	2	3	20	0	0		27.743
268	14	11	2	3	30	0	0		27.692
269	14	11	2	3	40	0	0		27.62
270	14	11	2	3	50	0	0		27.573
271	14	11	2	4	0	0	0		27.517
272	14	11	2	4	10	0	0		27.466
273	14	11	2	4	20	0	0		27.423
274	14	11	2	4	30	0	0		27.366
275	14	11	2	4	40	0	0		27.327
276	14	11	2	4	50	0	0		27.286
277	14	11	2	5	0	0	0		27.249
278	14	11	2	5	10	0	0		27.224
279	14	11	2	5	20	0	0		27.212
280	14	11	2	5	30	0	0		27.199
281	14	11	2	5	40	0	0		27.188
282	14	11	2	5	50	0	0		27.169
283	14	11	2	6	0	0	0		27.185
284	14	11	2	6	10	0	0		27.185
285	14	11	2	6	20	0	0		27.186
286	14	11	2	6	30	0	0		27.203
287	14	11	2	6	40	0	0		27.212
288	14	11	2	6	50	0	0		27.263
289	14	11	2	7	0	0	0		27.28
290	14	11	2	7	10	0	0		27.315
291	14	11	2	7	20	0	0		27.336
292	14	11	2	7	30	0	0		27.384
293	14	11	2	7	40	0	0		27.434
294	14	11	2	7	50	0	0		27.482
295	14	11	2	8	0	0	0		27.539
296	14	11	2	8	10	0	0		27.587
297	14	11	2	8	20	0	0		27.643
298	14	11	2	8	30	0	0		27.71
299	14	11	2	8	40	0	0		27.769
300	14	11	2	8	50	0	0		27.821
301	14	11	2	9	0	0	0		27.883
302	14	11	2	9	10	0	0		27.953
303	14	11	2	9	20	0	0		28.028
304	14	11	2	9	30	0	0		28.087
305	14	11	2	9	40	0	0		28.148
306	14	11	2	9	50	0	0		28.227
307	14	11	2	10	0	0	0		28.297
308	14	11	2	10	10	0	0		28.355
309	14	11	2	10	20	0	0		28.418
310	14	11	2	10	30	0	0		28.463
311	14	11	2	10	40	0	0		28.547
312	14	11	2	10	50	0	0		28.59
313	14	11	2	11	0	0	0		28.633
314	14	11	2	11	10	0	0		28.678
315	14	11	2	11	20	0	0		28.702
316	14	11	2	11	30	0	0		28.74
317	14	11	2	11	40	0	0		28.771
318	14	11	2	11	50	0	0		28.788
319	14	11	2	12	0	0	0		28.804
320	14	11	2	12	10	0	0		28.811
321	14	11	2	12	20	0	0		28.806
322	14	11	2	12	30	0	0		28.803
323	14	11	2	12	40	0	0		28.794
324	14	11	2	12	50	0	0		28.776
325	14	11	2	13	0	0	0		28.758
326	14	11	2	13	10	0	0		28.742
327	14	11	2	13	20	0	0		28.7
328	14	11	2	13	30	0	0		28.666
329	14	11	2	13	40	0	0		28.623
330	14	11	2	13	50	0	0		28.578
331	14	11	2	14	0	0	0		28.532
332	14	11	2	14	10	0	0		28.475
333	14	11	2	14	20	0	0		28.415
334	14	11	2	14	30	0	0		28.358
335	14	11	2	14	40	0	0		28.288
336	14	11	2	14	50	0	0		28.213
337	14	11	2	15	0	0	0		28.153
338	14	11	2	15	10	0	0		28.064
339	14	11	2	15	20	0	0		27.994
340	14	11	2	15	30	0	0		27.937
341	14	11	2	15	40	0	0		27.868
342	14	11	2	15	50	0	0		27.803
343	14	11	2	16	0	0	0		27.742
344	14	11	2	16	10	0	0		27.674
345	14	11	2	16	20	0	0		27.611
346	14	11	2	16	30	0	0		27.537
347	14	11	2	16	40	0	0		27.502
348	14	11	2	16	50	0	0		27.445
349	14	11	2	17	0	0	0		27.394
350	14	11	2	17	10	0	0		27.349
351	14	11	2	17	20	0	0		27.321
352	14	11	2	17	30	0	0		27.287
353	14	11	2	17	40	0	0		27.25
354	14	11	2	17	50	0	0		27.236
355	14	11	2	18	0	0	0		27.217
356	14	11	2	18	10	0	0		27.219
357	14	11	2	18	20	0	0		27.208
358	14	11	2	18	30	0	0		27.208
359	14	11	2	18	40	0	0		27.206
360	14	11	2	18	50	0	0		27.215
361	14	11	2	19	0	0	0		27.232
362	14	11	2	19	10	0	0		27.254
363	14	11	2	19	20	0	0		27.28
364	14	11	2	19	30	0	0		27.327
365	14	11	2	19	40	0	0		27.373
366	14	11	2	19	50	0	0		27.417
367	14	11	2	20	0	0	0		27.473
368	14	11	2	20	10	0	0		27.528
369	14	11	2	20	20	0	0		27.582
370	14	11	2	20	30	0	0		27.645
371	14	11	2	20	40	0	0		27.703
372	14	11	2	20	50	0	0		27.769
373	14	11	2	21	0	0	0		27.828
374	14	11	2	21	10	0	0		27.905
375	14	11	2	21	20	0	0		27.984
376	14	11	2	21	30	0	0		28.056
377	14	11	2	21	40	0	0		28.139
378	14	11	2	21	50	0	0		28.212
379	14	11	2	22	0	0	0		28.272
380	14	11	2	22	10	0	0		28.353
381	14	11	2	22	20	0	0		28.431
382	14	11	2	22	30	0	0		28.491
383	14	11	2	22	40	0	0		28.555
384	14	11	2	22	50	0	0		28.631
385	14	11	2	23	0	0	0		28.684
386	14	11	2	23	10	0	0		28.734
387	14	11	2	23	20	0	0		28.784
388	14	11	2	23	30	0	0		28.822
389	14	11	2	23	40	0	0		28.869
390	14	11	2	23	50	0	0		28.893
391	14	11	3	0	0	0	0		28.915
392	14	11	3	0	10	0	0		28.947
393	14	11	3	0	20	0	0		28.945
394	14	11	3	0	30	0	0		28.928
395	14	11	3	0	40	0	0		28.94
396	14	11	3	0	50	0	0		28.93
397	14	11	3	1	0	0	0		28.909
398	14	11	3	1	10	0	0		28.889
399	14	11	3	1	20	0	0		28.864
400	14	11	3	1	30	0	0		28.821
401	14	11	3	1	40	0	0		28.773
402	14	11	3	1	50	0	0		28.726
403	14	11	3	2	0	0	0		28.676
404	14	11	3	2	10	0	0		28.617
405	14	11	3	2	20	0	0		28.555
406	14	11	3	2	30	0	0		28.498
407	14	11	3	2	40	0	0		28.433
408	14	11	3	2	50	0	0		28.361
409	14	11	3	3	0	0	0		28.283
410	14	11	3	3	10	0	0		28.214
411	14	11	3	3	20	0	0		28.141
412	14	11	3	3	30	0	0		28.06
413	14	11	3	3	40	0	0		27.993
414	14	11	3	3	50	0	0		27.905
415	14	11	3	4	0	0	0		27.829
